date,open,high,low,close,volume,ma50,ma200
2026-01-19 13:03:00,11.86,11.87,11.84,11.85,489,,
2026-01-19 13:04:00,11.85,11.87,11.85,11.87,253,,
2026-01-19 13:05:00,11.87,11.88,11.86,11.86,484,,
2026-01-19 13:06:00,11.86,11.88,11.86,11.87,333,,
2026-01-19 13:07:00,11.87,11.88,11.86,11.87,440,,
2026-01-19 13:08:00,11.87,11.88,11.87,11.88,248,,
2026-01-19 13:09:00,11.88,11.89,11.88,11.89,446,,
2026-01-19 13:10:00,11.89,11.89,11.88,11.88,162,,
2026-01-19 13:11:00,11.88,11.89,11.88,11.89,327,,
2026-01-19 13:12:00,11.89,11.94,11.88,11.93,4254,,
2026-01-19 13:13:00,11.93,11.93,11.92,11.92,1201,,
2026-01-19 13:14:00,11.92,11.95,11.92,11.94,2144,,
2026-01-19 13:15:00,11.94,11.97,11.95,11.95,2965,,
2026-01-19 13:16:00,11.95,11.96,11.94,11.94,2104,,
2026-01-19 13:17:00,11.94,11.94,11.92,11.92,354,,
2026-01-19 13:18:00,11.92,11.93,11.92,11.93,596,,
2026-01-19 13:19:00,11.93,11.94,11.93,11.93,585,,
2026-01-19 13:20:00,11.93,11.94,11.93,11.94,651,,
2026-01-19 13:21:00,11.94,11.94,11.93,11.94,290,,
2026-01-19 13:22:00,11.94,11.94,11.92,11.92,972,,
2026-01-19 13:23:00,11.92,11.93,11.92,11.92,780,,
2026-01-19 13:24:00,11.92,11.92,11.91,11.91,376,,
2026-01-19 13:25:00,11.91,11.92,11.9,11.91,478,,
2026-01-19 13:26:00,11.91,11.92,11.91,11.92,212,,
2026-01-19 13:27:00,11.92,11.93,11.92,11.93,927,,
2026-01-19 13:28:00,11.93,11.93,11.91,11.92,569,,
2026-01-19 13:29:00,11.92,11.92,11.91,11.91,425,,
2026-01-19 13:30:00,11.91,11.91,11.9,11.9,103,,
2026-01-19 13:31:00,11.9,11.92,11.9,11.91,190,,
2026-01-19 13:32:00,11.91,11.92,11.91,11.91,434,,
2026-01-19 13:33:00,11.91,11.92,11.91,11.92,142,,
2026-01-19 13:34:00,11.92,11.92,11.91,11.92,87,,
2026-01-19 13:35:00,11.92,11.92,11.91,11.91,287,,
2026-01-19 13:36:00,11.91,11.91,11.9,11.9,309,,
2026-01-19 13:37:00,11.9,11.91,11.9,11.9,136,,
2026-01-19 13:38:00,11.9,11.9,11.89,11.89,88,,
2026-01-19 13:39:00,11.89,11.9,11.89,11.89,111,,
2026-01-19 13:40:00,11.89,11.9,11.89,11.89,336,,
2026-01-19 13:41:00,11.89,11.89,11.88,11.88,413,,
2026-01-19 13:42:00,11.88,11.89,11.88,11.88,230,,
2026-01-19 13:43:00,11.88,11.89,11.87,11.89,851,,
2026-01-19 13:44:00,11.89,11.9,11.88,11.88,217,,
2026-01-19 13:45:00,11.88,11.89,11.87,11.87,506,,
2026-01-19 13:46:00,11.87,11.88,11.86,11.87,797,,
2026-01-19 13:47:00,11.87,11.89,11.86,11.88,204,,
2026-01-19 13:48:00,11.88,11.88,11.87,11.87,110,,
2026-01-19 13:49:00,11.87,11.88,11.86,11.86,138,,
2026-01-19 13:50:00,11.86,11.88,11.86,11.87,202,,
2026-01-19 13:51:00,11.87,11.88,11.86,11.86,225,,
2026-01-19 13:52:00,11.86,11.87,11.85,11.85,246,11.898800000000001,
2026-01-19 13:53:00,11.85,11.86,11.85,11.85,291,11.8988,
2026-01-19 13:54:00,11.85,11.86,11.85,11.85,548,11.898399999999999,
2026-01-19 13:55:00,11.85,11.85,11.84,11.84,480,11.898,
2026-01-19 13:56:00,11.84,11.85,11.84,11.85,403,11.8976,
2026-01-19 13:57:00,11.85,11.85,11.84,11.84,244,11.896999999999998,
2026-01-19 13:58:00,11.84,11.85,11.84,11.85,389,11.896399999999998,
2026-01-19 13:59:00,11.85,11.87,11.85,11.86,907,11.8958,
2026-01-19 14:00:00,11.86,11.87,11.84,11.84,2321,11.895,
2026-01-19 14:01:00,11.84,11.85,11.84,11.84,282,11.893999999999998,
2026-01-19 14:02:00,11.84,11.86,11.84,11.86,196,11.8926,
2026-01-19 14:03:00,11.86,11.87,11.85,11.86,281,11.891399999999999,
2026-01-19 14:04:00,11.86,11.86,11.85,11.86,98,11.889800000000001,
2026-01-19 14:05:00,11.86,11.87,11.85,11.87,240,11.8882,
2026-01-19 14:06:00,11.87,11.87,11.86,11.86,75,11.886600000000001,
2026-01-19 14:07:00,11.86,11.86,11.85,11.85,76,11.8852,
2026-01-19 14:08:00,11.85,11.86,11.85,11.86,55,11.8838,
2026-01-19 14:09:00,11.86,11.86,11.85,11.86,114,11.882399999999997,
2026-01-19 14:10:00,11.86,11.86,11.85,11.85,56,11.8806,
2026-01-19 14:11:00,11.85,11.87,11.86,11.87,520,11.879199999999999,
2026-01-19 14:12:00,11.87,11.88,11.86,11.87,303,11.8782,
2026-01-19 14:13:00,11.87,11.87,11.86,11.87,76,11.8772,
2026-01-19 14:14:00,11.87,11.87,11.86,11.87,103,11.876399999999999,
2026-01-19 14:15:00,11.87,11.88,11.86,11.88,482,11.8758,
2026-01-19 14:16:00,11.88,11.88,11.87,11.88,354,11.875,
2026-01-19 14:17:00,11.88,11.88,11.86,11.88,54,11.873999999999999,
2026-01-19 14:18:00,11.88,11.88,11.86,11.86,200,11.8728,
2026-01-19 14:19:00,11.86,11.88,11.87,11.87,73,11.872,
2026-01-19 14:20:00,11.87,11.87,11.86,11.86,134,11.871200000000002,
2026-01-19 14:21:00,11.86,11.87,11.86,11.86,422,11.8702,
2026-01-19 14:22:00,11.86,11.87,11.86,11.87,152,11.8694,
2026-01-19 14:23:00,11.87,11.87,11.86,11.87,76,11.868400000000001,
2026-01-19 14:24:00,11.87,11.87,11.86,11.87,227,11.8674,
2026-01-19 14:25:00,11.87,11.87,11.86,11.86,554,11.866399999999999,
2026-01-19 14:26:00,11.86,11.87,11.86,11.87,46,11.8658,
2026-01-19 14:27:00,11.87,11.87,11.86,11.87,50,11.8652,
2026-01-19 14:28:00,11.87,11.87,11.86,11.86,96,11.864599999999998,
2026-01-19 14:29:00,11.86,11.86,11.85,11.85,349,11.8638,
2026-01-19 14:30:00,11.85,11.87,11.85,11.86,374,11.863199999999999,
2026-01-19 14:31:00,11.86,11.87,11.86,11.87,360,11.863,
2026-01-19 14:32:00,11.87,11.88,11.86,11.87,962,11.8628,
2026-01-19 14:33:00,11.87,11.88,11.86,11.86,271,11.8622,
2026-01-19 14:34:00,11.86,11.87,11.85,11.85,201,11.861600000000001,
2026-01-19 14:35:00,11.85,11.87,11.86,11.87,301,11.8616,
2026-01-19 14:36:00,11.87,11.86,11.86,11.86,430,11.861399999999998,
2026-01-19 14:37:00,11.86,11.87,11.86,11.86,144,11.860999999999999,
2026-01-19 14:38:00,11.86,11.87,11.86,11.86,322,11.8608,
2026-01-19 14:39:00,11.86,11.87,11.86,11.86,125,11.8608,
2026-01-19 14:40:00,11.86,11.87,11.86,11.86,138,11.8606,
2026-01-19 14:41:00,11.86,11.87,11.86,11.87,171,11.8608,
2026-01-19 14:42:00,11.87,11.87,11.86,11.87,263,11.861200000000002,
2026-01-19 14:43:00,11.87,11.87,11.86,11.87,204,11.861600000000001,
2026-01-19 14:44:00,11.87,11.87,11.86,11.86,225,11.8618,
2026-01-19 14:45:00,11.86,11.87,11.86,11.87,1156,11.862400000000001,
2026-01-19 14:46:00,11.87,11.88,11.87,11.88,91,11.863,
2026-01-19 14:47:00,11.88,11.88,11.87,11.87,806,11.863600000000002,
2026-01-19 14:48:00,11.87,11.88,11.87,11.88,242,11.8642,
2026-01-19 14:49:00,11.88,11.88,11.87,11.88,246,11.864600000000001,
2026-01-19 14:50:00,11.88,11.88,11.86,11.87,1050,11.8652,
2026-01-19 14:51:00,11.87,11.87,11.86,11.87,577,11.865800000000002,
2026-01-19 14:52:00,11.87,11.88,11.86,11.88,715,11.866200000000001,
2026-01-19 14:53:00,11.88,11.88,11.87,11.87,684,11.8664,
2026-01-19 14:54:00,11.87,11.88,11.87,11.87,618,11.866599999999998,
2026-01-19 14:55:00,11.87,11.88,11.87,11.88,1329,11.866800000000001,
2026-01-19 14:56:00,11.88,11.88,11.87,11.88,2072,11.8672,
2026-01-19 14:57:00,11.88,11.88,11.87,11.88,2046,11.867799999999999,
2026-01-19 14:58:00,11.88,11.88,11.88,11.88,5,11.8682,
2026-01-19 14:59:00,11.88,11.88,11.88,11.88,0,11.8686,
2026-01-19 15:00:00,11.88,11.89,11.89,11.89,1609,11.8694,
2026-01-20 09:30:00,11.89,11.89,11.89,11.89,221,11.8698,
2026-01-20 09:31:00,11.89,11.9,11.84,11.87,1360,11.8698,
2026-01-20 09:32:00,11.87,11.88,11.85,11.85,893,11.8694,
2026-01-20 09:33:00,11.85,11.88,11.84,11.87,1268,11.8694,
2026-01-20 09:34:00,11.87,11.92,11.88,11.91,1261,11.87,
2026-01-20 09:35:00,11.91,11.91,11.9,11.9,690,11.8704,
2026-01-20 09:36:00,11.9,11.95,11.9,11.92,1142,11.871200000000002,
2026-01-20 09:37:00,11.92,11.92,11.91,11.91,801,11.8722,
2026-01-20 09:38:00,11.91,11.92,11.89,11.89,1354,11.8726,
2026-01-20 09:39:00,11.89,11.9,11.87,11.87,2354,11.8728,
2026-01-20 09:40:00,11.87,11.88,11.86,11.86,1841,11.8728,
2026-01-20 09:41:00,11.86,11.87,11.85,11.85,713,11.8724,
2026-01-20 09:42:00,11.85,11.89,11.84,11.88,836,11.8726,
2026-01-20 09:43:00,11.88,11.88,11.86,11.87,1021,11.8726,
2026-01-20 09:44:00,11.87,11.87,11.85,11.86,629,11.872599999999998,
2026-01-20 09:45:00,11.86,11.86,11.83,11.85,613,11.8722,
2026-01-20 09:46:00,11.85,11.87,11.84,11.87,2033,11.8722,
2026-01-20 09:47:00,11.87,11.89,11.85,11.87,1061,11.8724,
2026-01-20 09:48:00,11.87,11.89,11.86,11.88,566,11.873,
2026-01-20 09:49:00,11.88,11.9,11.86,11.9,652,11.8738,
2026-01-20 09:50:00,11.9,11.9,11.89,11.9,722,11.874400000000001,
2026-01-20 09:51:00,11.9,11.91,11.89,11.91,847,11.8752,
2026-01-20 09:52:00,11.91,11.9,11.86,11.87,1462,11.875399999999999,
2026-01-20 09:53:00,11.87,11.87,11.86,11.87,147,11.8758,
2026-01-20 09:54:00,11.87,11.87,11.86,11.87,358,11.875800000000002,
2026-01-20 09:55:00,11.87,11.87,11.86,11.86,545,11.875800000000002,
2026-01-20 09:56:00,11.86,11.87,11.85,11.86,279,11.8758,
2026-01-20 09:57:00,11.86,11.87,11.86,11.86,426,11.8758,
2026-01-20 09:58:00,11.86,11.87,11.86,11.86,441,11.8758,
2026-01-20 09:59:00,11.86,11.86,11.84,11.84,1400,11.875399999999999,
2026-01-20 10:00:00,11.84,11.85,11.83,11.83,283,11.874600000000001,
2026-01-20 10:01:00,11.83,11.84,11.83,11.83,692,11.8738,
2026-01-20 10:02:00,11.83,11.84,11.82,11.84,623,11.873199999999999,
2026-01-20 10:03:00,11.84,11.84,11.83,11.84,225,11.8728,
2026-01-20 10:04:00,11.84,11.84,11.83,11.83,451,11.871999999999998,
2026-01-20 10:05:00,11.83,11.84,11.83,11.84,430,11.871199999999998,
2026-01-20 10:06:00,11.84,11.84,11.83,11.84,190,11.8706,
2026-01-20 10:07:00,11.84,11.84,11.83,11.84,403,11.869799999999998,
2026-01-20 10:08:00,11.84,11.85,11.83,11.84,422,11.868999999999998,
2026-01-20 10:09:00,11.84,11.84,11.81,11.81,2948,11.867799999999999,
2026-01-20 10:10:00,11.81,11.82,11.81,11.81,361,11.866599999999998,
2026-01-20 10:11:00,11.81,11.82,11.81,11.81,1212,11.8652,
2026-01-20 10:12:00,11.81,11.82,11.81,11.82,971,11.864199999999999,
2026-01-20 10:13:00,11.82,11.82,11.81,11.81,389,11.863,
2026-01-20 10:14:00,11.81,11.81,11.79,11.8,2812,11.861399999999998,
2026-01-20 10:15:00,11.8,11.8,11.79,11.79,656,11.859599999999999,
2026-01-20 10:16:00,11.79,11.8,11.78,11.78,766,11.8576,
2026-01-20 10:17:00,11.78,11.8,11.78,11.8,470,11.856,
2026-01-20 10:18:00,11.8,11.8,11.79,11.79,1051,11.854199999999999,
2026-01-20 10:19:00,11.79,11.8,11.79,11.8,494,11.8524,
2026-01-20 10:20:00,11.8,11.8,11.79,11.79,511,11.8504,
2026-01-20 10:21:00,11.79,11.8,11.78,11.78,758,11.8486,
2026-01-20 10:22:00,11.78,11.79,11.77,11.78,1852,11.8472,
2026-01-20 10:23:00,11.78,11.78,11.77,11.77,834,11.8452,
2026-01-20 10:24:00,11.77,11.78,11.77,11.78,589,11.8426,
2026-01-20 10:25:00,11.78,11.8,11.78,11.8,389,11.8406,
2026-01-20 10:26:00,11.8,11.78,11.76,11.76,1304,11.837399999999997,
2026-01-20 10:27:00,11.76,11.77,11.76,11.76,300,11.8344,
2026-01-20 10:28:00,11.76,11.78,11.76,11.78,408,11.8322,
2026-01-20 10:29:00,11.78,11.78,11.77,11.77,102,11.8302,
2026-01-20 10:30:00,11.77,11.8,11.77,11.79,429,11.8288,
2026-01-20 10:31:00,11.79,11.8,11.76,11.76,1784,11.826999999999998,
2026-01-20 10:32:00,11.76,11.77,11.76,11.77,580,11.824799999999998,
2026-01-20 10:33:00,11.77,11.77,11.76,11.76,470,11.8226,
2026-01-20 10:34:00,11.76,11.79,11.76,11.79,352,11.821200000000001,
2026-01-20 10:35:00,11.79,11.79,11.77,11.78,624,11.8198,
2026-01-20 10:36:00,11.78,11.79,11.77,11.78,397,11.818,
2026-01-20 10:37:00,11.78,11.8,11.78,11.79,519,11.816400000000002,
2026-01-20 10:38:00,11.79,11.8,11.78,11.78,282,11.814400000000001,
2026-01-20 10:39:00,11.78,11.79,11.78,11.78,463,11.812000000000001,
2026-01-20 10:40:00,11.78,11.8,11.78,11.79,379,11.809799999999997,
2026-01-20 10:41:00,11.79,11.82,11.8,11.81,1006,11.8078,
2026-01-20 10:42:00,11.81,11.81,11.78,11.79,413,11.806199999999999,
2026-01-20 10:43:00,11.79,11.8,11.78,11.8,210,11.8048,
2026-01-20 10:44:00,11.8,11.8,11.78,11.79,289,11.803199999999999,
2026-01-20 10:45:00,11.79,11.8,11.79,11.79,91,11.801799999999998,
2026-01-20 10:46:00,11.79,11.8,11.79,11.8,376,11.800600000000001,
2026-01-20 10:47:00,11.8,11.79,11.78,11.79,335,11.7992,
2026-01-20 10:48:00,11.79,11.79,11.77,11.77,537,11.7974,
2026-01-20 10:49:00,11.77,11.79,11.77,11.77,771,11.796,
2026-01-20 10:50:00,11.77,11.79,11.77,11.79,224,11.7952,
2026-01-20 10:51:00,11.79,11.79,11.77,11.79,432,11.794400000000001,11.85705
2026-01-20 10:52:00,11.79,11.79,11.78,11.78,285,11.793199999999999,11.8567
2026-01-20 10:53:00,11.78,11.8,11.78,11.78,305,11.791999999999998,11.85625
2026-01-20 10:54:00,11.78,11.79,11.78,11.79,296,11.791200000000002,11.855899999999998
2026-01-20 10:55:00,11.79,11.79,11.78,11.79,143,11.7902,11.8555
2026-01-20 10:56:00,11.79,11.79,11.78,11.79,58,11.7892,11.8551
2026-01-20 10:57:00,11.79,11.79,11.78,11.79,211,11.788200000000002,11.854650000000001
