date,open,high,low,close,volume,ma50,ma200
2025-12-31 10:55:00,10.06,10.07,10.05,10.07,147900,,
2025-12-31 11:00:00,10.07,10.08,10.04,10.07,416100,,
2025-12-31 11:05:00,10.07,10.09,10.07,10.09,74500,,
2025-12-31 11:10:00,10.09,10.09,10.07,10.09,126900,,
2025-12-31 11:15:00,10.09,10.09,10.08,10.09,125600,,
2025-12-31 11:20:00,10.09,10.09,10.07,10.08,123400,,
2025-12-31 11:25:00,10.07,10.09,10.07,10.08,101800,,
2025-12-31 11:30:00,10.08,10.08,10.07,10.08,63300,,
2025-12-31 13:05:00,10.07,10.07,10.04,10.06,422400,,
2025-12-31 13:10:00,10.06,10.07,10.04,10.06,66600,,
2025-12-31 13:15:00,10.06,10.07,10.04,10.06,84900,,
2025-12-31 13:20:00,10.05,10.07,10.04,10.05,100100,,
2025-12-31 13:25:00,10.07,10.07,10.05,10.07,63300,,
2025-12-31 13:30:00,10.05,10.07,10.04,10.06,156200,,
2025-12-31 13:35:00,10.06,10.06,10.04,10.05,74500,,
2025-12-31 13:40:00,10.05,10.06,10.04,10.05,76000,,
2025-12-31 13:45:00,10.04,10.05,10.03,10.05,138700,,
2025-12-31 13:50:00,10.03,10.05,10.03,10.05,63500,,
2025-12-31 13:55:00,10.04,10.05,10.03,10.04,87800,,
2025-12-31 14:00:00,10.04,10.04,10.03,10.04,95500,,
2025-12-31 14:05:00,10.03,10.05,10.03,10.05,88900,,
2025-12-31 14:10:00,10.05,10.05,10.04,10.05,124400,,
2025-12-31 14:15:00,10.04,10.06,10.04,10.05,114400,,
2025-12-31 14:20:00,10.05,10.05,10.04,10.05,100400,,
2025-12-31 14:25:00,10.04,10.04,10.03,10.03,91700,,
2025-12-31 14:30:00,10.03,10.04,10.02,10.03,181300,,
2025-12-31 14:35:00,10.02,10.04,10.02,10.03,142800,,
2025-12-31 14:40:00,10.03,10.04,10.02,10.03,178200,,
2025-12-31 14:45:00,10.03,10.04,10.02,10.03,153700,,
2025-12-31 14:50:00,10.03,10.04,10.03,10.03,236100,,
2025-12-31 14:55:00,10.03,10.05,10.03,10.04,267900,,
2025-12-31 15:00:00,10.04,10.05,10.04,10.04,159100,,
2026-01-05 09:35:00,10.05,10.07,10.02,10.03,657600,,
2026-01-05 09:40:00,10.02,10.04,10.02,10.04,415100,,
2026-01-05 09:45:00,10.04,10.05,10.02,10.04,333600,,
2026-01-05 09:50:00,10.04,10.06,10.03,10.06,325700,,
2026-01-05 09:55:00,10.06,10.08,10.05,10.06,468300,,
2026-01-05 10:00:00,10.06,10.07,10.03,10.04,480200,,
2026-01-05 10:05:00,10.04,10.06,10.03,10.06,260700,,
2026-01-05 10:10:00,10.06,10.06,10.04,10.05,125300,,
2026-01-05 10:15:00,10.05,10.05,10.04,10.05,159100,,
2026-01-05 10:20:00,10.04,10.06,10.02,10.04,709400,,
2026-01-05 10:25:00,10.04,10.05,10.04,10.04,100300,,
2026-01-05 10:30:00,10.05,10.06,10.04,10.05,248500,,
2026-01-05 10:35:00,10.06,10.07,10.05,10.06,271060,,
2026-01-05 10:40:00,10.06,10.08,10.04,10.06,575400,,
2026-01-05 10:45:00,10.06,10.08,10.06,10.08,67400,,
2026-01-05 10:50:00,10.08,10.08,10.07,10.07,196700,,
2026-01-05 10:55:00,10.07,10.08,10.07,10.08,182300,,
2026-01-05 11:00:00,10.08,10.08,10.07,10.07,213800,10.0546,
2026-01-05 11:05:00,10.08,10.08,10.07,10.08,242200,10.0548,
2026-01-05 11:10:00,10.08,10.09,10.07,10.08,186500,10.055,
2026-01-05 11:15:00,10.08,10.09,10.07,10.08,184900,10.0548,
2026-01-05 11:20:00,10.08,10.09,10.07,10.07,414500,10.054400000000001,
2026-01-05 11:25:00,10.07,10.08,10.06,10.07,69700,10.054,
2026-01-05 11:30:00,10.08,10.08,10.07,10.07,59900,10.0538,
2026-01-05 13:05:00,10.08,10.09,10.06,10.07,316200,10.0536,
2026-01-05 13:10:00,10.07,10.09,10.07,10.08,274200,10.0536,
2026-01-05 13:15:00,10.08,10.09,10.07,10.08,103200,10.054,
2026-01-05 13:20:00,10.08,10.08,10.07,10.08,122700,10.054400000000001,
2026-01-05 13:25:00,10.08,10.09,10.07,10.07,155700,10.0546,
2026-01-05 13:30:00,10.08,10.09,10.07,10.09,171700,10.055399999999999,
2026-01-05 13:35:00,10.09,10.09,10.08,10.09,164400,10.0558,
2026-01-05 13:40:00,10.09,10.09,10.08,10.09,79300,10.0564,
2026-01-05 13:45:00,10.09,10.1,10.08,10.1,201200,10.0574,
2026-01-05 13:50:00,10.1,10.1,10.08,10.1,189700,10.0584,
2026-01-05 13:55:00,10.1,10.1,10.09,10.09,291600,10.059199999999999,
2026-01-05 14:00:00,10.09,10.1,10.09,10.09,182500,10.06,
2026-01-05 14:05:00,10.09,10.1,10.09,10.1,156400,10.0612,
2026-01-05 14:10:00,10.1,10.1,10.09,10.09,366500,10.062199999999999,
2026-01-05 14:15:00,10.09,10.11,10.09,10.11,188000,10.0634,
2026-01-05 14:20:00,10.11,10.11,10.1,10.1,198700,10.064400000000001,
2026-01-05 14:25:00,10.11,10.12,10.1,10.11,370300,10.0656,
2026-01-05 14:30:00,10.11,10.12,10.1,10.11,165200,10.066799999999999,
