date,open,high,low,close,volume,ma50,ma200
2026-01-09 09:55:00,5.42,5.43,5.42,5.42,2515500,,
2026-01-09 10:00:00,5.43,5.43,5.42,5.43,279900,,
2026-01-09 10:05:00,5.43,5.43,5.42,5.42,487600,,
2026-01-09 10:10:00,5.43,5.43,5.42,5.43,335800,,
2026-01-09 10:15:00,5.43,5.44,5.42,5.43,2186400,,
2026-01-09 10:20:00,5.43,5.44,5.42,5.43,357600,,
2026-01-09 10:25:00,5.43,5.43,5.42,5.42,245600,,
2026-01-09 10:30:00,5.42,5.43,5.42,5.43,249300,,
2026-01-09 10:35:00,5.43,5.43,5.42,5.43,246800,,
2026-01-09 10:40:00,5.42,5.43,5.42,5.42,291400,,
2026-01-09 10:45:00,5.42,5.43,5.42,5.43,436200,,
2026-01-09 10:50:00,5.43,5.43,5.42,5.43,234500,,
2026-01-09 10:55:00,5.43,5.43,5.42,5.42,149400,,
2026-01-09 11:00:00,5.42,5.43,5.42,5.42,230700,,
2026-01-09 11:05:00,5.43,5.43,5.42,5.43,321600,,
2026-01-09 11:10:00,5.43,5.43,5.42,5.43,433800,,
2026-01-09 11:15:00,5.43,5.43,5.42,5.42,524500,,
2026-01-09 11:20:00,5.42,5.43,5.42,5.42,195200,,
2026-01-09 11:25:00,5.42,5.43,5.42,5.42,287200,,
2026-01-09 11:30:00,5.42,5.43,5.41,5.42,1082600,,
2026-01-09 13:05:00,5.42,5.42,5.41,5.42,248500,,
2026-01-09 13:10:00,5.41,5.42,5.41,5.41,121300,,
2026-01-09 13:15:00,5.41,5.42,5.41,5.41,176000,,
2026-01-09 13:20:00,5.42,5.42,5.41,5.42,91800,,
2026-01-09 13:25:00,5.41,5.42,5.41,5.41,612900,,
2026-01-09 13:30:00,5.41,5.42,5.41,5.42,243300,,
2026-01-09 13:35:00,5.41,5.42,5.41,5.41,185700,,
2026-01-09 13:40:00,5.41,5.42,5.41,5.41,110700,,
2026-01-09 13:45:00,5.42,5.42,5.41,5.41,322400,,
2026-01-09 13:50:00,5.41,5.42,5.41,5.41,244100,,
2026-01-09 13:55:00,5.41,5.42,5.41,5.41,124600,,
2026-01-09 14:00:00,5.41,5.42,5.41,5.41,443400,,
2026-01-09 14:05:00,5.42,5.42,5.41,5.41,226600,,
2026-01-09 14:10:00,5.41,5.42,5.41,5.41,158500,,
2026-01-09 14:15:00,5.42,5.42,5.41,5.42,873200,,
2026-01-09 14:20:00,5.41,5.42,5.41,5.42,123100,,
2026-01-09 14:25:00,5.41,5.42,5.41,5.41,696700,,
2026-01-09 14:30:00,5.41,5.42,5.41,5.41,789900,,
2026-01-09 14:35:00,5.41,5.42,5.41,5.41,323300,,
2026-01-09 14:40:00,5.42,5.42,5.41,5.42,424200,,
2026-01-09 14:45:00,5.42,5.42,5.41,5.41,430900,,
2026-01-09 14:50:00,5.42,5.42,5.41,5.42,568900,,
2026-01-09 14:55:00,5.42,5.42,5.41,5.42,1603600,,
